iter	RMSE
0	1.700964138
1	1.553199507
2	1.42018343
3	1.300963275
4	1.192050536
5	1.094170217
6	1.004955894
7	0.9266367455
8	0.8548936435
9	0.7901372063
10	0.7306816123
11	0.6773504927
12	0.6300444571
13	0.5870208951
14	0.5487210868
15	0.5137484394
16	0.4814997392
17	0.4531176849
18	0.4281374019
19	0.4058840205
20	0.3853727587
21	0.3665467528
22	0.3503044433
23	0.3354134513
24	0.3223099155
25	0.3106532579
26	0.3001980868
27	0.29073352
28	0.2820105521
29	0.2743266728
30	0.2676625393
31	0.2613106765
32	0.2559665592
33	0.2509754714
34	0.2464114433
35	0.2419154777
36	0.2381116218
37	0.2348263257
38	0.2315618297
39	0.2289961486
40	0.2263525174
41	0.2239761282
42	0.2221344117
43	0.2196407866
44	0.2179897786
45	0.2166760115
46	0.2154161117
47	0.2143177383
48	0.2127884429
49	0.2118911011
50	0.2108943259
51	0.2101020491
52	0.2093751627
53	0.2078149546
54	0.2069333422
55	0.2057400021
56	0.2049878085
57	0.2043930326
58	0.2037528209
59	0.2029442263
60	0.2025072181
61	0.2020597012
62	0.201408458
63	0.200542564
64	0.2001484619
65	0.1998445664
66	0.1994538376
67	0.1988317452
68	0.1984507874
69	0.1980318495
70	0.197473542
71	0.1969906143
72	0.1964013675
73	0.1961410781
74	0.1956661882
75	0.1952207837
76	0.1946953405
77	0.1944224169
78	0.1941240864
79	0.1938693731
80	0.1935076715
81	0.1932039502
82	0.1926559162
83	0.1923997822
84	0.1921192503
85	0.1918173679
86	0.1916318874
87	0.1912965511
88	0.1908320788
89	0.1905950574
90	0.1903175089
91	0.1900330294
92	0.1897942989
93	0.1894292048
94	0.1892599621
95	0.1891155701
96	0.1887988477
97	0.1886167211
98	0.1884139419
99	0.1880850248
100	0.1878174751
101	0.1876655413
102	0.1873973632
103	0.1871830496
104	0.1870656195
105	0.1867903089
106	0.1863813109
107	0.1861798409
108	0.1860683424
109	0.1858615874
110	0.1856653168
111	0.1854871214
112	0.1853259781
113	0.1851828446
114	0.1850338208
115	0.1848376829
116	0.1846425083
117	0.1843822535
118	0.1841599448
119	0.1839551144
120	0.1836631177
121	0.1834842997
122	0.1833327511
123	0.1832222698
124	0.1830559667
125	0.1828811761
126	0.1827039037
127	0.1825301068
128	0.1823762915
129	0.1821240686
130	0.1819415914
131	0.181790514
132	0.181625522
133	0.1814812565
134	0.1813083045
135	0.1811386673
136	0.1810400326
137	0.1808557564
138	0.1807561153
139	0.1805479293
140	0.1804232838
141	0.1802890364
142	0.1802126037
143	0.1800342812
144	0.1798915907
145	0.1797447514
146	0.1796603357
147	0.1795562338
148	0.1794264727
149	0.1792625561
150	0.1791722182
151	0.1790383516
152	0.178897267
153	0.1788121688
154	0.1787230438
155	0.1786007186
156	0.1785162561
157	0.178432676
158	0.178352051
159	0.1782394263
160	0.1781333152
161	0.177993031
162	0.1778730963
163	0.1777681131
164	0.1776576585
165	0.1775448265
166	0.1774385303
167	0.1773306596
168	0.1772139573
