iter	Passed	Remaining
0	721	720628
1	1303	650654
2	1908	634206
3	2405	599055
4	2892	575563
5	3343	553827
6	3794	538322
7	4242	526112
8	4738	521799
9	5275	522269
10	5697	512300
11	6186	509326
12	6634	503715
13	7065	497629
14	7518	493738
15	7949	488892
16	8412	486461
17	8940	487763
18	9445	487702
19	9953	487701
20	10380	483919
21	10844	482107
22	11263	478464
23	11732	477104
24	12186	475271
25	12663	474383
26	13125	473009
27	13581	471488
28	13977	467995
29	14444	467036
30	14911	466105
31	15317	463351
32	15743	461345
33	16213	460660
34	16659	459318
35	17164	459638
36	17604	458182
37	18067	457400
38	18595	458201
39	19083	457995
40	19560	457521
41	20084	458126
42	20585	458152
43	20992	456108
44	21430	454810
45	21867	453511
46	22338	452950
47	22816	452518
48	23225	450761
49	23743	451121
50	24222	450729
51	24706	450410
52	25134	449094
53	25564	447845
54	25989	446542
55	26435	445622
56	26862	444401
57	27401	445032
58	27967	446063
59	28460	445887
60	29034	446947
61	29558	447186
62	30044	446858
63	30466	445569
64	30861	443926
65	31373	443988
66	31846	443473
67	32273	442336
68	32694	441140
69	33130	440163
70	33514	438523
71	33966	437796
72	34364	436379
73	34756	434925
74	35185	433953
75	35598	432805
76	36008	431629
77	36409	430383
78	36869	429829
79	37279	428718
80	37714	427895
81	38135	426936
82	38560	426028
83	38989	425173
84	39382	423939
85	39818	423182
86	40241	422308
87	40685	421646
88	41239	422121
89	41730	421943
90	42238	421915
91	42680	421239
92	43142	420752
93	43571	419956
94	44126	420364
95	44588	419871
96	45054	419422
97	45502	418808
98	45997	418628
99	46425	417825
100	46905	417508
101	47389	417215
102	47824	416489
103	48451	417426
104	48908	416885
105	49312	415896
106	49841	415970
107	50411	416362
108	50825	415464
109	51384	415745
110	51859	415342
111	52313	414768
112	52773	414245
113	53314	414358
114	53699	413249
115	54097	412257
116	54550	411691
117	54951	410741
118	55339	409700
119	55827	409399
120	56351	409366
121	56780	408636
122	57207	407890
123	57633	407152
124	57999	405996
125	58487	405696
126	59002	405587
127	59517	405459
128	59758	403486
129	60180	402746
130	60598	401988
131	61061	401525
132	61591	401501
133	62258	402355
134	62714	401838
135	63183	401404
136	63806	401932
137	64361	402024
138	64906	402044
139	65472	402187
140	65931	401670
141	66392	401158
142	66918	401040
143	67382	400553
144	67802	399798
145	68161	398699
146	68618	398174
147	69089	397731
148	69614	397597
149	70158	397564
150	70627	397103
151	71116	396757
152	71605	396404
153	72113	396156
154	72598	395778
155	73021	395067
156	73578	395076
157	74076	394759
158	74722	395232
159	75293	395290
160	75925	395659
161	76522	395839
162	76922	394993
163	77420	394655
164	77853	393986
165	78348	393631
166	79135	394727
167	79709	394752
168	80266	394683
169	80777	394386
170	81358	394421
171	81839	393973
172	82325	393544
173	82727	392718
174	83213	392293
175	83732	392021
176	84124	391156
177	84631	390825
178	85167	390629
179	85648	390174
180	86125	389705
181	86461	388601
182	86954	388206
183	87440	387781
184	87889	387188
185	88393	386838
186	88888	386450
187	89328	385821
188	89804	385349
189	90310	385008
190	90760	384426
191	91231	383930
192	91831	383980
193	92308	383509
194	92799	383095
195	93316	382786
196	93740	382099
197	94280	381885
198	94745	381363
199	95230	380923
200	95666	380286
201	96103	379657
202	96562	379115
203	97015	378551
204	97645	378672
205	98208	378530
206	98761	378346
207	99310	378142
208	99825	377810
209	100222	377026
210	100682	376484
211	101277	376444
212	101900	376504
213	102462	376334
214	103020	376145
215	103549	375846
216	104100	375624
217	104493	374832
218	104975	374364
219	105434	373814
220	105926	373380
221	106337	372660
222	107039	372957
223	107630	372861
224	108229	372788
225	108853	372799
226	109411	372578
227	109943	372265
228	110399	371694
229	110832	371049
230	111414	370897
231	111857	370286
232	112391	369974
233	112831	369355
234	113250	368665
235	113658	367943
236	114172	367567
237	114633	367020
238	115149	366646
239	115750	366543
240	116331	366371
241	116830	365940
242	117325	365496
243	117854	365154
244	118331	364653
245	118887	364394
246	119351	363853
247	119816	363315
248	120480	363377
249	120995	362985
250	121489	362532
251	121979	362065
252	122492	361667
253	123008	361277
254	123498	360810
255	124022	360440
256	124495	359921
257	124938	359318
258	125576	359276
259	126006	358633
260	126544	358299
261	126939	357561
262	127339	356840
263	127739	356121
264	128117	355345
265	128502	354590
266	129016	354191
267	129420	353491
268	129846	352854
269	130363	352464
270	130801	351861
271	131571	352148
272	132090	351757
273	132522	351135
274	132980	350586
275	133455	350078
276	134108	350037
277	134696	349824
278	135173	349320
279	135795	349188
280	136175	348435
281	136634	347884
282	137089	347325
283	137596	346898
